Country,UniqueCustomers
Australia,15
Austria,13
Bahrain,2
Belgium,29
Brazil,2
Canada,5
Channel Islands,13
Cyprus,11
Czech Republic,1
Denmark,12
EIRE,5
European Community,1
Finland,14
France,95
Germany,107
Greece,5
Iceland,1
Israel,4
Italy,17
Japan,10
Korea,2
Lebanon,1
Lithuania,1
Malta,2
Netherlands,22
Nigeria,1
Norway,13
Poland,6
Portugal,24
RSA,2
Saudi Arabia,1
Singapore,1
Spain,41
Sweden,19
Switzerland,22
Thailand,1
USA,9
United Arab Emirates,4
United Kingdom,5350
Unspecified,6
West Indies,1
