Country,InvoiceDate,TotalPrice
Australia,2009-12,271.1
Australia,2010-02,1029.66
Australia,2010-03,429.39
Australia,2010-04,630.95
Australia,2010-05,2371.15
Australia,2010-06,3214.78
Australia,2010-07,686.12
Australia,2010-08,176.0
Australia,2010-09,785.83
Australia,2010-10,2989.15
Australia,2010-11,18245.52
Australia,2010-12,1650.0
Australia,2011-01,9017.710000000001
Australia,2011-02,14695.42
Australia,2011-03,17223.99
Australia,2011-04,771.6
Australia,2011-05,13638.41
Australia,2011-06,25187.77
Australia,2011-07,4964.38
Australia,2011-08,22489.2
Australia,2011-09,5106.7300000000005
Australia,2011-10,17150.53
Australia,2011-11,7242.72
Austria,2009-12,1998.3400000000001
Austria,2010-02,1118.8600000000001
Austria,2010-03,925.13
Austria,2010-04,1388.54
Austria,2010-05,622.04
Austria,2010-06,268.1
Austria,2010-08,1043.15
Austria,2010-09,1940.17
Austria,2010-10,1236.7
Austria,2010-11,2873.3
Austria,2010-12,277.2
Austria,2011-02,518.36
Austria,2011-03,1708.12
Austria,2011-04,680.78
Austria,2011-05,1249.43
Austria,2011-07,1191.95
Austria,2011-08,1516.08
Austria,2011-10,1043.78
Austria,2011-11,1329.78
Austria,2011-12,683.2
Bahrain,2010-05,488.21000000000004
Bahrain,2010-10,317.76
Bahrain,2011-05,548.4
Belgium,2009-12,447.6
Belgium,2010-01,1634.02
Belgium,2010-02,3209.0
Belgium,2010-03,904.02
Belgium,2010-04,2570.39
Belgium,2010-05,98.15
Belgium,2010-06,3800.34
Belgium,2010-07,1914.23
Belgium,2010-08,1713.62
Belgium,2010-09,1190.91
Belgium,2010-10,1475.72
Belgium,2010-11,5252.9800000000005
Belgium,2010-12,2156.01
Belgium,2011-01,1200.2
Belgium,2011-02,2181.07
Belgium,2011-03,3351.98
Belgium,2011-04,1989.48
Belgium,2011-05,2732.4
Belgium,2011-06,4274.82
Belgium,2011-07,2475.57
Belgium,2011-08,3554.02
Belgium,2011-09,4208.02
Belgium,2011-10,5685.38
Belgium,2011-11,6315.76
Belgium,2011-12,1417.73
Brazil,2010-09,268.27
Brazil,2011-04,1143.6
Canada,2010-10,834.89
Canada,2010-11,381.77000000000004
Canada,2011-03,140.54
Canada,2011-05,534.24
Canada,2011-06,1171.46
Canada,2011-07,1768.58
Canada,2011-08,51.559999999999995
Channel Islands,2009-12,989.18
Channel Islands,2010-01,838.75
Channel Islands,2010-03,1065.12
Channel Islands,2010-04,926.82
Channel Islands,2010-05,5378.52
Channel Islands,2010-06,845.0
Channel Islands,2010-08,1363.14
Channel Islands,2010-09,6156.34
Channel Islands,2010-10,4341.19
Channel Islands,2010-11,2278.73
Channel Islands,2010-12,727.06
Channel Islands,2011-01,675.58
Channel Islands,2011-02,1784.71
Channel Islands,2011-03,3509.33
Channel Islands,2011-04,293.0
Channel Islands,2011-05,1207.24
Channel Islands,2011-06,2060.0299999999997
Channel Islands,2011-08,4896.78
Channel Islands,2011-09,1323.75
Channel Islands,2011-10,2623.32
Channel Islands,2011-11,1514.77
Channel Islands,2011-12,198.4
Cyprus,2009-12,3556.98
Cyprus,2010-01,76.52000000000001
Cyprus,2010-02,750.49
Cyprus,2010-03,2879.19
Cyprus,2010-04,1151.7
Cyprus,2010-05,515.61
Cyprus,2010-06,489.8
Cyprus,2010-09,1020.53
Cyprus,2010-10,551.33
Cyprus,2010-11,397.59999999999997
Cyprus,2010-12,1590.82
Cyprus,2011-01,547.5
Cyprus,2011-02,4334.24
Cyprus,2011-03,938.39
Cyprus,2011-06,1109.32
Cyprus,2011-09,196.35
Cyprus,2011-10,4412.87
Cyprus,2011-11,460.89
Czech Republic,2011-02,549.26
Czech Republic,2011-10,277.48
Denmark,2009-12,1437.66
Denmark,2010-01,7870.6
Denmark,2010-02,19809.899999999998
Denmark,2010-03,7595.18
Denmark,2010-04,748.0
Denmark,2010-06,2695.5099999999998
Denmark,2010-07,591.6600000000001
Denmark,2010-08,2643.03
Denmark,2010-09,1725.25
Denmark,2010-10,448.6
Denmark,2010-11,4059.96
Denmark,2010-12,2563.0
Denmark,2011-02,399.22
Denmark,2011-03,3978.9900000000002
Denmark,2011-05,515.7
Denmark,2011-06,3261.15
Denmark,2011-07,376.24
Denmark,2011-08,213.15
Denmark,2011-09,4570.16
Denmark,2011-10,1490.76
Denmark,2011-11,2699.57
Denmark,2011-12,168.9
EIRE,2009-12,18170.46
EIRE,2010-01,65031.41
EIRE,2010-02,20206.46
EIRE,2010-03,22989.46
EIRE,2010-04,20668.08
EIRE,2010-05,18447.91
EIRE,2010-06,22934.34
EIRE,2010-07,31987.23
EIRE,2010-08,22919.36
EIRE,2010-09,36349.13
EIRE,2010-10,43929.86
EIRE,2010-11,27717.73
EIRE,2010-12,13547.66
EIRE,2011-01,21904.19
EIRE,2011-02,10126.52
EIRE,2011-03,21674.36
EIRE,2011-04,7570.5
EIRE,2011-05,15982.19
EIRE,2011-06,19835.99
EIRE,2011-07,40905.15
EIRE,2011-08,16967.38
EIRE,2011-09,40995.49
EIRE,2011-10,24317.920000000002
EIRE,2011-11,29473.41
EIRE,2011-12,6978.92
European Community,2011-04,191.4
European Community,2011-06,432.05
European Community,2011-07,676.8
Finland,2009-12,549.08
Finland,2010-01,801.42
Finland,2010-04,1255.13
Finland,2010-05,837.11
Finland,2010-06,534.14
Finland,2010-07,956.23
Finland,2010-09,864.68
Finland,2010-10,1166.69
Finland,2010-11,414.98
Finland,2010-12,892.8
Finland,2011-01,889.02
Finland,2011-02,205.16
Finland,2011-03,5936.82
Finland,2011-04,1688.92
Finland,2011-06,329.56
Finland,2011-07,2996.73
Finland,2011-08,1376.5
Finland,2011-09,1105.45
Finland,2011-10,2822.12
Finland,2011-11,3070.24
Finland,2011-12,1232.76
France,2009-12,6521.69
France,2010-01,8465.63
France,2010-02,9024.16
France,2010-03,8657.59
France,2010-04,7405.18
France,2010-05,13958.15
France,2010-06,9172.54
France,2010-07,11408.15
France,2010-08,16570.32
France,2010-09,14531.33
France,2010-10,15211.77
France,2010-11,18998.49
France,2010-12,15906.73
France,2011-01,17740.12
France,2011-02,8515.96
France,2011-03,14589.55
France,2011-04,5529.61
France,2011-05,17614.88
France,2011-06,16078.97
France,2011-07,10000.19
France,2011-08,13810.96
France,2011-09,23428.04
France,2011-10,33485.45
France,2011-11,31337.09
France,2011-12,7294.92
Germany,2009-12,10096.85
Germany,2010-01,12562.11
Germany,2010-02,9124.25
