Country,Description,Revenue
Australia, DOLLY GIRL BEAKER,216.0
Australia, I LOVE LONDON MINI BACKPACK,16.6
Australia,10 COLOUR SPACEBOY PEN,40.8
Australia,12 PENCIL SMALL TUBE WOODLAND,211.20000000000002
Australia,12 PENCILS SMALL TUBE RED SPOTTY,15.600000000000001
Australia,12 PENCILS TALL TUBE POSY,79.8
Australia,12 PENCILS TALL TUBE RED RETROSPOT,10.2
Australia,16 PIECE CUTLERY SET PANTRY DESIGN,300.0
Australia,20 DOLLY PEGS RETROSPOT,75.0
Australia,3 HOOK HANGER MAGIC GARDEN,70.19999999999999
Australia,3 STRIPEY MICE FELTCRAFT,331.95
Australia,3 TIER CAKE TIN GREEN AND CREAM,612.0
Australia,3 TIER CAKE TIN RED AND CREAM,921.5999999999999
Australia,36 DOILIES DOLLY GIRL,17.4
Australia,36 DOILIES VINTAGE CHRISTMAS,377.4
Australia,36 PENCILS TUBE RED RETROSPOT,428.29
Australia,36 PENCILS TUBE SKULLS,135.68
Australia,4 TRADITIONAL SPINNING TOPS,856.2
Australia,5 HOOK HANGER MAGIC TOADSTOOL,19.799999999999997
Australia,5 HOOK HANGER RED MAGIC TOADSTOOL,19.799999999999997
Australia,6 GIFT TAGS VINTAGE CHRISTMAS ,155.51999999999998
Australia,6 RIBBONS RUSTIC CHARM,248.39999999999998
Australia,60 CAKE CASES DOLLY GIRL DESIGN,214.79999999999998
Australia,60 CAKE CASES VINTAGE CHRISTMAS,114.0
Australia,70'S ALPHABET WALL ART,44.7
Australia,72 SWEETHEART FAIRY CAKE CASES,50.4
Australia,ABC TREASURE BOOK BOX ,702.0
Australia,ADVENT CALENDAR GINGHAM SACK,107.10000000000001
Australia,AIRLINE BAG VINTAGE JET SET BROWN,12.7
Australia,AIRLINE BAG VINTAGE JET SET RED,90.80000000000001
Australia,AIRLINE BAG VINTAGE JET SET WHITE,12.7
Australia,AIRLINE BAG VINTAGE TOKYO 78,12.7
Australia,ALARM CLOCK BAKELIKE CHOCOLATE,169.5
Australia,ALARM CLOCK BAKELIKE GREEN,289.5
Australia,ALARM CLOCK BAKELIKE IVORY,214.5
Australia,ALARM CLOCK BAKELIKE ORANGE,30.0
Australia,ALARM CLOCK BAKELIKE PINK,199.5
Australia,ALARM CLOCK BAKELIKE RED ,289.5
Australia,ANIMALS AND NATURE WALL ART,157.92000000000002
Australia,ANTIQUE SILVER TEA GLASS ETCHED,15.0
Australia,APOTHECARY MEASURING JAR,66.9
Australia,ASSORTED BOTTLE TOP  MAGNETS ,86.39999999999999
Australia,ASSORTED COLOUR MINI CASES,47.7
Australia,ASSORTED COLOURS SILK FAN,432.0
Australia,ASSORTED EASTER GIFT TAGS,103.67999999999999
Australia,BABUSHKA LIGHTS STRING OF 10,54.0
Australia,BAKING MOULD EASTER EGG MILK CHOC,17.700000000000003
Australia,BAKING MOULD EASTER EGG WHITE CHOC,122.39999999999999
Australia,BAKING SET 9 PIECE RETROSPOT ,531.75
Australia,BAKING SET SPACEBOY DESIGN,905.1
Australia,BANQUET BIRTHDAY  CARD  ,5.04
Australia,BATHROOM METAL SIGN,6.6000000000000005
Australia,BEADED CRYSTAL HEART BLUE ON STICK,10.08
Australia,BEADED CRYSTAL HEART PINK ON STICK,10.08
Australia,BELLE JARDINIERE CUSHION COVER,15.0
Australia,BEWARE OF THE CAT METAL SIGN ,20.28
Australia,BICYCLE SAFTEY WALL ART,962.9999999999999
Australia,BINGO SET,533.1600000000001
Australia,BIRDHOUSE GARDEN MARKER ,75.0
Australia,BIRDS MOBILE VINTAGE DESIGN,35.7
Australia,BIRTHDAY BANQUET GIFT WRAP,10.5
Australia,"BIRTHDAY CARD, RETRO SPOT",10.08
Australia,BIRTHDAY PARTY CORDON BARRIER TAPE,60.0
Australia,BISCUIT TIN 50'S CHRISTMAS,624.24
Australia,BISCUIT TIN VINTAGE CHRISTMAS,537.84
Australia,BISCUIT TIN VINTAGE GREEN,499.80000000000007
Australia,BISCUIT TIN VINTAGE RED,499.80000000000007
Australia,BLACK BAROQUE CUCKOO CLOCK,51.0
Australia,BLACK DINER WALL CLOCK,17.0
Australia,BLACK ENCHANTED FOREST PLACEMAT,19.799999999999997
Australia,BLACK RECORD COVER FRAME,650.88
Australia,BLACK/BLUE DOTS RUFFLED UMBRELLA,17.85
Australia,BLACK/BLUE POLKADOT UMBRELLA,124.95000000000002
Australia,BLUE 3 PIECE MINI DOTS CUTLERY SET,22.5
Australia,BLUE 3 PIECE POLKADOT CUTLERY SET,266.58000000000004
Australia,BLUE CHARLIE+LOLA PERSONAL DOORSIGN,36.480000000000004
Australia,BLUE COAT RACK PARIS FASHION,153.0
Australia,BLUE DINER WALL CLOCK,159.8
Australia,BLUE GIANT GARDEN THERMOMETER,178.20000000000002
Australia,BLUE HAPPY BIRTHDAY BUNTING,546.75
Australia,BLUE HARMONICA IN BOX ,778.2
Australia,BLUE OWL SOFT TOY,123.90000000000002
Australia,BLUE PADDED SOFT MOBILE,12.75
Australia,BLUE POLKADOT BOWL,228.96000000000004
Australia,BLUE POLKADOT CUP,138.24
Australia,BLUE POLKADOT PLATE ,291.91999999999996
Australia,BLUE POLKADOT WRAP,78.5
Australia,BLUE TV TRAY TABLE ,25.5
Australia,BLUE VINTAGE SPOT BEAKER,82.72
Australia,BOX OF 6 CHRISTMAS CAKE DECORATIONS,118.44
Australia,BOX OF 6 MINI 50'S CRACKERS,14.940000000000001
